# D <delay> - wait #delay clocks while deq_rdy = '1'
# O <count> - output #count descriptors
D 2560
O 1
D 39
O 1
D 39
O 1
D 39
O 1
D 39
O 1
D 39
O 1
D 39
O 1
D 39
O 1
D 39
O 1
D 39
O 1
D 39
O 1
D 39
O 1
D 39
O 1
D 39
O 1
D 39
O 1
D 39
O 1
D 39
O 1
D 39
O 1
D 39
O 1
D 39
O 1
D 25
O 1
D 2
O 1
D 2
O 1
D 2
O 1
D 2
O 1
D 39
O 1
D 39
O 1
D 39
O 1
D 39
O 1
D 39
O 1
D 39
O 1
D 39
O 1
D 39
O 1
D 39
O 1
D 39
O 1
D 39
O 1
D 39
O 1
D 39
O 1
D 39
O 1
D 39
O 1
D 39
O 1
D 39
O 1
D 39
O 1
D 39
O 1
D 39
O 1
D 39
O 1
D 39
O 1
D 39
O 1
D 39
O 1
D 39
O 1
D 39
O 1
D 39
O 1
D 39
O 1
D 39
O 1
D 39
O 1
D 39
O 1
D 39
O 1
D 39
O 1
D 39
O 1
D 39
O 1
D 39
O 1
D 39
O 1
D 39
O 1
D 39
O 1
D 39
O 1
D 39
O 1
D 39
O 1
D 39
O 1
D 39
O 1
D 39
O 1
D 39
O 1
D 39
O 1
D 39
O 1
D 39
O 1
D 39
O 1
D 39
O 1
D 39
O 1
D 39
O 1
D 39
O 1
D 39
O 1
D 39
O 1
D 39
O 1
D 39
O 1
D 39
O 1
D 39
