64 1 0 0
64 1 1 0
64 1 2 0
64 1 3 0
64 1 4 0
64 1 5 0
64 1 6 0
64 1 7 0
64 1 8 0
64 1 9 0
64 1 10 0
64 1 11 0
64 1 12 0
64 1 13 0
64 1 14 0
64 1 15 0
64 2 0 1
64 2 1 1
64 2 2 1
64 2 3 1
64 2 4 1
64 2 5 1
64 2 6 1
64 2 7 1
64 2 8 1
64 2 9 1
64 2 10 1
64 2 11 1
64 2 12 1
64 2 13 1
64 2 14 1
64 2 15 1
64 5 115 0
64 5 114 0
64 5 113 0
64 5 112 0
64 5 111 0
64 5 110 0
64 5 109 0
64 5 108 0
64 5 107 0
64 5 106 0
64 5 105 0
64 5 104 0
64 5 103 0
64 5 102 0
64 5 101 0
64 5 100 0
64 5 116 0
64 5 117 0
64 5 118 0
64 5 119 0
64 5 120 0
64 5 121 0
64 5 122 0
64 6 123 0
64 8 300 0
64 8 200 0
64 8 201 0
64 8 202 0
64 8 203 0
64 8 204 0
64 8 205 0
64 8 206 0
64 8 207 0
64 8 301 0
64 8 208 0
64 8 209 0
64 8 302 0
64 8 303 0
64 8 304 0
64 8 305 0
64 8 306 0
64 8 307 0
64 8 308 0
64 9 106 1
64 9 105 1
64 9 104 1
64 9 103 1
64 9 102 1
64 9 101 1
64 9 100 1
64 11 210 0
64 11 211 0
